Year and dataset code row,Quarter,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
[Note 3]",Real terms price indices: Solid fuels,Real terms price indices: Gas ,Real terms price indices: Electricity ,Real terms price indices: Liquid fuels,"Real terms price indices: Domestic fuels
[Note 1]","Real terms price indices: Motor fuel & oil
[Note 2]","Real terms price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator  2010=100,Quarter Code
1996,Jan to Mar,45.40,43.30,62.50,33.30,51.60,47.00,76.20,61.20,58.40,84.30,44.90,69.60,63.40,102.70,74.15,1Q 1996
1996,Apr to June,44.40,43.30,62.60,33.30,51.60,46.90,77.10,58.80,57.40,83.00,44.10,68.40,62.20,102.20,75.44,2Q 1996
1996,July to Sept,44.30,43.30,62.60,34.30,51.70,47.80,77.10,58.20,56.90,82.40,45.20,68.00,62.90,101.40,76.02,3Q 1996
1996,Oct to Dec,46.00,43.30,61.50,38.60,51.50,50.90,77.60,60.40,56.80,80.70,50.70,67.60,66.80,102.00,76.14,4Q 1996
1997,Jan to Mar,46.20,43.30,60.70,35.80,51.10,51.50,77.60,61.70,57.80,81.10,47.80,68.30,68.80,103.70,74.85,1Q 1997
1997,Apr to June,45.10,43.10,60.40,31.10,50.70,51.00,78.30,60.40,57.80,81.00,41.60,68.00,68.40,104.90,74.62,2Q 1997
1997,July to Sept,44.40,42.90,59.00,29.80,49.80,54.50,78.60,58.00,56.10,77.20,39.00,65.10,71.20,102.80,76.49,3Q 1997
1997,Oct to Dec,45.90,42.10,57.10,30.90,48.80,54.70,79.00,61.40,56.30,76.40,41.40,65.30,73.20,105.70,74.74,4Q 1997
1998,Jan to Mar,45.90,41.40,57.10,26.60,48.30,53.60,78.90,60.90,55.00,75.80,35.30,64.10,71.20,104.70,75.32,1Q 1998
1998,Apr to June,45.20,41.40,57.00,25.00,48.10,56.50,79.80,59.50,54.60,75.10,33.00,63.40,74.40,105.10,75.91,2Q 1998
1998,July to Sept,45.20,41.40,56.10,23.60,47.80,56.60,79.60,59.20,54.20,73.40,30.90,62.50,74.10,104.30,76.37,3Q 1998
1998,Oct to Dec,47.00,41.40,56.10,23.70,47.90,55.60,80.10,60.40,53.30,72.10,30.50,61.60,71.50,103.00,77.78,4Q 1998
1999,Jan to Mar,47.00,41.70,56.10,22.60,47.90,55.30,80.10,60.30,53.50,72.00,29.10,61.50,71.00,102.80,77.89,1Q 1999
1999,Apr to June,46.30,41.30,56.00,25.60,47.80,60.30,80.90,59.80,53.30,72.30,33.10,61.70,77.90,104.50,77.43,2Q 1999
1999,July to Sept,46.00,41.30,55.80,29.80,47.90,62.00,80.60,59.60,53.60,72.40,38.70,62.10,80.50,104.60,77.08,3Q 1999
1999,Oct to Dec,47.60,41.30,55.80,34.30,48.30,63.50,81.10,61.60,53.50,72.30,44.40,62.50,82.20,105.10,77.19,4Q 1999
2000,Jan to Mar,47.80,41.30,55.80,37.90,48.40,65.10,80.60,61.30,52.90,71.60,48.50,62.00,83.40,103.40,78.01,1Q 2000
2000,Apr to June,46.80,40.20,55.10,37.40,47.50,68.90,81.30,59.60,51.30,70.20,47.70,60.50,87.80,103.60,78.48,2Q 2000
2000,July to Sept,46.50,40.20,54.20,44.70,47.80,69.90,81.30,58.90,50.90,68.50,56.60,60.40,88.50,102.90,79.06,3Q 2000
2000,Oct to Dec,48.90,40.40,54.20,51.80,48.40,68.90,81.90,61.80,51.00,68.40,65.40,61.10,87.00,103.40,79.18,4Q 2000
2001,Jan to Mar,49.10,40.50,54.20,42.40,47.80,65.40,81.40,62.10,51.20,68.40,53.50,60.30,82.50,102.80,79.18,1Q 2001
2001,Apr to June,48.70,42.10,54.20,41.50,48.50,66.10,82.60,60.50,52.30,67.30,51.60,60.30,82.20,102.60,80.47,2Q 2001
2001,July to Sept,48.90,42.20,54.30,42.00,48.70,65.60,82.60,61.00,52.60,67.70,52.40,60.60,81.80,102.90,80.23,3Q 2001
2001,Oct to Dec,52.10,42.20,54.40,35.40,48.30,61.60,82.70,64.50,52.20,67.30,43.80,59.70,76.30,102.30,80.82,4Q 2001
2002,Jan to Mar,52.30,44.10,54.40,34.30,49.00,60.60,82.70,64.60,54.40,67.10,42.30,60.50,74.80,102.00,81.05,1Q 2002
