ITL,ITL code,Region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"2019
[note 2]"
UK,UK,United Kingdom,"629,076","644,335","676,540","721,329","748,032","772,226","795,778","830,727","869,481","908,873","959,798","993,951","1,015,234","1,035,884","1,059,734","1,107,318","1,152,816","1,195,778","1,270,370","1,295,043","1,324,194","1,389,040","1,431,678"
Other,TLB,All households,"537,623","551,474","579,881","618,107","640,878","660,465","680,104","709,358","742,981","776,671","820,911","848,781","868,318","885,597","905,000","947,537","988,097","1,026,441","1,094,671","1,117,306","1,142,493","1,199,737","1,237,085"
ITL1,TLC,North East,"23,851","23,955","24,780","26,257","27,244","27,820","28,558","29,801","30,551","31,689","32,686","33,530","35,002","35,851","36,517","38,138","38,971","39,990","41,596","42,163","42,993","44,460","45,645"
ITL2,TLC1,Tees Valley and Durham,"10,629","10,584","11,053","11,718","12,178","12,377","12,635","13,225","13,671","14,148","14,558","14,904","15,500","15,892","16,217","16,875","17,203","17,767","18,415","18,622","19,008","19,675","20,166"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"2,492","2,486","2,634","2,784","2,906","3,008","3,089","3,228","3,372","3,508","3,610","3,722","3,852","3,946","4,076","4,208","4,249","4,397","4,524","4,580","4,674","4,814","4,952"
ITL3,TLC12,South Teesside,"2,568","2,468","2,588","2,746","2,854","2,855","2,899","3,013","3,126","3,241","3,283","3,346","3,516","3,542","3,626","3,844","3,896","4,055","4,179","4,198","4,261","4,419","4,548"
ITL3,TLC13,Darlington,956,945,954,"1,041","1,116","1,131","1,166","1,203","1,239","1,275","1,356","1,370","1,443","1,458","1,457","1,516","1,566","1,590","1,665","1,731","1,800","1,844","1,857"
ITL3,TLC14,Durham CC,"4,613","4,685","4,877","5,147","5,303","5,383","5,482","5,780","5,934","6,124","6,309","6,466","6,689","6,946","7,058","7,307","7,492","7,725","8,048","8,113","8,273","8,597","8,809"
ITL2,TLC2,Northumberland and Tyne and Wear,"13,222","13,371","13,727","14,539","15,066","15,442","15,922","16,576","16,880","17,541","18,128","18,626","19,502","19,959","20,300","21,263","21,768","22,223","23,180","23,542","23,986","24,786","25,479"
ITL3,TLC21,Northumberland,"3,159","3,197","3,368","3,597","3,720","3,805","3,981","4,119","4,216","4,474","4,604","4,900","5,193","5,209","5,273","5,467","5,602","5,703","5,917","6,046","6,181","6,356","6,518"
ITL3,TLC22,Tyneside,"7,576","7,713","7,782","8,193","8,519","8,740","8,991","9,424","9,516","9,838","10,177","10,344","10,828","11,178","11,377","11,980","12,242","12,556","13,174","13,292","13,513","14,083","14,514"
ITL3,TLC23,Sunderland,"2,486","2,461","2,577","2,748","2,827","2,897","2,951","3,033","3,147","3,229","3,347","3,383","3,481","3,572","3,650","3,817","3,924","3,964","4,089","4,203","4,292","4,347","4,446"
ITL1,TLD,North West,"66,460","67,495","70,919","74,828","77,009","79,507","82,188","85,349","88,646","91,808","95,955","98,035","101,694","103,366","105,281","109,226","112,588","115,857","122,311","123,695","127,132","132,709","136,553"
ITL2,TLD1,Cumbria,"4,870","5,072","5,218","5,446","5,781","5,901","6,200","6,515","6,773","7,050","7,390","7,528","7,827","8,062","8,113","8,494","8,734","8,954","9,376","9,416","9,583","9,859","10,116"
ITL3,TLD11,West Cumbria,"2,138","2,218","2,281","2,432","2,552","2,548","2,661","2,809","2,891","3,029","3,239","3,297","3,404","3,504","3,553","3,741","3,799","3,892","4,089","4,122","4,181","4,272","4,342"
ITL3,TLD12,East Cumbria,"2,732","2,854","2,938","3,014","3,229","3,353","3,540","3,706","3,883","4,021","4,150","4,230","4,423","4,558","4,559","4,753","4,935","5,062","5,287","5,295","5,403","5,587","5,775"
ITL2,TLD3,Greater Manchester,"24,244","24,569","26,114","27,595","28,255","29,098","29,816","30,846","32,023","33,281","34,728","35,434","36,652","37,335","38,200","39,723","40,988","42,224","44,654","45,238","46,571","48,802","50,382"
ITL3,TLD33,Manchester,"2,988","3,112","3,382","3,608","3,758","3,987","4,097","4,287","4,587","4,802","5,028","5,200","5,497","5,648","5,883","6,124","6,382","6,602","7,123","7,334","7,730","8,176","8,471"
ITL3,TLD34,Greater Manchester South West,"5,226","5,255","5,513","5,798","5,854","6,010","6,161","6,375","6,612","6,840","7,126","7,282","7,432","7,527","7,695","7,972","8,180","8,421","9,168","9,255","9,437","9,916","10,247"
ITL3,TLD35,Greater Manchester South East,"4,967","5,014","5,356","5,661","5,749","5,901","6,082","6,180","6,402","6,641","6,922","7,060","7,367","7,533","7,709","7,977","8,216","8,525","9,020","9,271","9,487","9,938","10,232"
ITL3,TLD36,Greater Manchester North West,"5,592","5,636","5,954","6,280","6,454","6,600","6,775","7,036","7,246","7,539","7,867","7,983","8,206","8,357","8,501","8,847","9,090","9,248","9,458","9,440","9,806","10,155","10,420"
ITL3,TLD37,Greater Manchester North East,"5,471","5,552","5,909","6,248","6,439","6,600","6,700","6,968","7,176","7,458","7,786","7,910","8,149","8,270","8,412","8,802","9,121","9,428","9,886","9,937","10,111","10,617","11,013"
ITL2,TLD4,Lancashire,"13,458","13,625","14,154","15,070","15,617","15,997","16,508","17,159","17,940","18,549","19,397","19,911","20,693","20,967","21,405","21,888","22,397","23,018","24,236","24,592","25,258","26,224","26,900"
ITL3,TLD41,Blackburn with Darwen,"1,173","1,183","1,242","1,257","1,290","1,294","1,352","1,399","1,484","1,540","1,578","1,585","1,628","1,698","1,705","1,732","1,749","1,809","1,872","1,897","1,978","2,097","2,168"
ITL3,TLD42,Blackpool,"1,392","1,396","1,410","1,530","1,538","1,558","1,535","1,564","1,598","1,631","1,710","1,742","1,809","1,848","1,907","1,920","1,954","2,000","2,078","2,123","2,178","2,219","2,270"
ITL3,TLD44,Lancaster and Wyre,"2,189","2,228","2,327","2,490","2,602","2,702","2,802","2,917","3,045","3,143","3,277","3,359","3,535","3,579","3,640","3,745","3,862","3,968","4,116","4,164","4,330","4,515","4,615"
ITL3,TLD45,Mid Lancashire,"3,880","3,923","4,072","4,343","4,523","4,643","4,824","5,035","5,253","5,446","5,689","5,827","6,052","6,104","6,215","6,357","6,466","6,674","7,065","7,191","7,366","7,652","7,852"
ITL3,TLD46,East Lancashire,"2,691","2,733","2,850","3,022","3,140","3,195","3,293","3,432","3,625","3,751","3,961","4,116","4,258","4,298","4,385","4,463","4,609","4,670","4,898","5,015","5,100","5,260","5,407"
ITL3,TLD47,Chorley and West Lancashire,"2,133","2,162","2,253","2,428","2,523","2,605","2,700","2,812","2,935","3,037","3,181","3,282","3,411","3,441","3,553","3,670","3,755","3,897","4,208","4,203","4,306","4,481","4,587"
ITL2,TLD6,Cheshire,"9,759","9,935","10,469","11,028","11,299","11,935","12,565","13,151","13,669","14,142","14,809","15,164","15,612","15,734","15,970","16,711","17,368","18,008","19,276","19,366","20,084","21,220","21,840"
ITL3,TLD61,Warrington,"1,966","2,010","2,119","2,308","2,415","2,466","2,534","2,681","2,756","2,874","3,056","3,093","3,156","3,216","3,313","3,502","3,564","3,715","4,020","4,002","4,106","4,315","4,399"
ITL3,TLD62,Cheshire East,"4,255","4,336","4,553","4,744","4,825","5,159","5,445","5,646","5,891","6,101","6,365","6,526","6,741","6,779","6,891","7,170","7,584","7,886","8,535","8,567","8,883","9,461","9,790"
ITL3,TLD63,Cheshire West and Chester,"3,538","3,589","3,798","3,975","4,059","4,310","4,587","4,824","5,022","5,166","5,388","5,545","5,715","5,740","5,765","6,039","6,220","6,406","6,721","6,797","7,095","7,445","7,651"
ITL2,TLD7,Merseyside,"14,129","14,296","14,963","15,688","16,057","16,576","17,099","17,677","18,240","18,786","19,632","19,997","20,911","21,267","21,593","22,411","23,101","23,653","24,769","25,082","25,634","26,603","27,315"
ITL3,TLD71,East Merseyside,"3,716","3,769","3,982","4,300","4,491","4,602","4,746","4,953","5,172","5,340","5,639","5,776","5,984","6,062","6,160","6,360","6,523","6,674","7,013","7,181","7,420","7,728","7,954"
ITL3,TLD72,Liverpool,"3,854","3,850","4,065","4,258","4,417","4,538","4,691","4,890","5,036","5,285","5,473","5,483","5,770","5,914","6,058","6,310","6,528","6,768","7,124","7,183","7,338","7,607","7,806"
