Country or region code,Country or region name,Detached,Semi-detached,Terraced,Flats and maisonettes,All dwellings
E92000001,All households,1033.00,840.00,751.00,476.00,731.00
W92000004,Wales,1057.00,833.00,808.00,473.00,800.00
E12000001,North East,910.00,814.00,778.00,520.00,758.00
E12000002,North West,1007.00,844.00,774.00,470.00,752.00
E12000003,Yorkshire and The Humber,1009.00,820.00,806.00,487.00,779.00
E12000004,East Midlands,984.00,808.00,733.00,462.00,776.00
E12000005,West Midlands,1027.00,852.00,770.00,503.00,779.00
E12000006,Eastern,1046.00,838.00,703.00,457.00,737.00
E12000007,London,1365.00,1058.00,845.00,482.00,602.00
E12000008,South East,1083.00,822.00,694.00,465.00,719.00
E12000009,South West,1026.00,794.00,693.00,467.00,737.00
