Region,Year,Proportion of not fuel poor households within group (%),Proportion of fuel poor households within group (%),Number of households (thousands) - Not fuel poor,Number of households (thousands) - Fuel poor,Total number of households (thousands),Proportion of total fuel poor households (%),Aggregate fuel poverty gap Real Terms,Average fuel poverty gap Real Terms
North East,2010,73,27,817,303,"1,120",6.3,96.00,318.00
North East,2011,73.8,26.2,846,301,"1,147",6.4,83.00,277.00
North East,2012,78.5,21.5,871,238,"1,109",5.5,63.00,265.00
North East,2013,78.4,21.6,895,247,"1,142",5.9,55.00,221.00
North East,2014,77.1,22.9,881,261,"1,142",6.7,57.00,217.00
North East,2015,79.1,20.9,906,240,"1,146",6.3,59.00,246.00
North East,2016,79.8,20.2,922,233,"1,155",6.2,62.00,267.00
North East,2017,80.7,19.3,943,226,"1,169",6,52.00,228.00
North East,2018,84,16,992,188,"1,180",5.4,31.00,164.00
North East,2019,85.2,14.8,"1,015",177,"1,192",5.6,32.00,180.00
North East,2020,85.6,14.4,"1,025",173,"1,198",5.5,27.00,155.00
North West,2010,75.5,24.5,"2,240",726,"2,967",15.2,229.00,315.00
North West,2011,76.1,23.9,"2,269",713,"2,982",15.1,258.00,362.00
North West,2012,79.9,20.1,"2,379",597,"2,976",13.7,205.00,343.00
North West,2013,81.1,18.9,"2,493",581,"3,073",13.9,149.00,257.00
North West,2014,82.3,17.7,"2,519",542,"3,061",13.9,143.00,265.00
North West,2015,83.5,16.5,"2,569",507,"3,076",13.4,130.00,256.00
North West,2016,82.8,17.2,"2,587",538,"3,125",14.4,125.00,233.00
North West,2017,81.7,18.3,"2,572",578,"3,150",15.5,138.00,239.00
North West,2018,83.3,16.7,"2,624",528,"3,151",15,129.00,244.00
North West,2019,85.5,14.5,"2,716",461,"3,177",14.5,105.00,227.00
North West,2020,85.6,14.4,"2,760",465,"3,225",14.7,111.00,239.00
Yorkshire and The Humber,2010,77.2,22.8,"1,722",509,"2,231",10.6,168.00,329.00
Yorkshire and The Humber,2011,77,23,"1,745",521,"2,266",11,164.00,315.00
Yorkshire and The Humber,2012,80.1,19.9,"1,821",454,"2,274",10.4,142.00,314.00
Yorkshire and The Humber,2013,81.9,18.1,"1,860",411,"2,271",9.8,121.00,294.00
Yorkshire and The Humber,2014,81.1,18.9,"1,824",425,"2,249",10.9,125.00,294.00
Yorkshire and The Humber,2015,80.9,19.1,"1,816",428,"2,244",11.3,105.00,246.00
Yorkshire and The Humber,2016,84.2,15.8,"1,911",359,"2,270",9.6,76.00,212.00
Yorkshire and The Humber,2017,83.2,16.8,"1,914",386,"2,300",10.3,86.00,223.00
Yorkshire and The Humber,2018,83.1,16.9,"1,935",393,"2,328",11.2,81.00,206.00
Yorkshire and The Humber,2019,83.3,16.8,"1,972",397,"2,369",12.5,82.00,207.00
